index,contentE,contentK
1,"The Frog King",개구리 왕자
2,"In old times when wishing still helped one, there lived a king whose daughters were all beautiful,","옛날 옛적에 소망을 이루어 주는 힘이 여전히 통했던 때에, 한명의 왕이 있었고 그의 딸들은 모두 아름다웠어요."
3,"but the youngest was so beautiful","특히나 막내공주님이 아주 예뻤는데요,"
4,"that the sun itself, which has seen so much, was astonished whenever it shone in her face.","얼마나 아름다운지, 해가 그녀의 얼굴을 비출때 마다 놀랐어요."
5,"Close by the King’s castle lay a great dark forest,",왕의 성은 울창한 숲에 둘러싸여 있었어요.
6,"and under an old lime-tree in the forest was a well,",숲에 있는 나이 많은 라임 나무 아래에 우물이 하나 있었어요.
7,"and when the day was very warm, the King’s child went out into the forest and sat down by the side of the cool fountain,","화창한 날에, 막내공주님께서 숲으로 놀러 나와 시원한 분수 옆에 앉았어요."
8,"and when she was dull she took a golden ball, and threw it up on high and caught it,",그녀는 따분할 땐 황금 공을 가져와 높이 던졌다가 다시 잡곤 했지요.
9,and this ball was her favorite plaything.,황금 공놀이는 그녀가 가장 좋아하는 놀이었어요.
10,"Now it so happened that on one occasion the princess’s golden ball did not fall into the little hand which she was holding up for it, but on to the ground beyond, and rolled straight into the water.",그러다 우연히 공주의 작은 손으로 떠받치고 있던 황금 공이 바닥으로 떨어져 곧장 우물 속으로 굴러 들어갔지 뭐예요.
11,"The King’s daughter followed it with her eyes, but it vanished,",공주님이 다급히 눈으론 공을 쫓았지만 결국 물속으로 사라지고 말았어요.
12,"and the well was deep, so deep that the bottom could not be seen. ",우물은 꽤 깊었어요. 바닥이 보이지 않을 정도로요.
13,"On this she began to cry, and cried louder and louder, and could not be comforted. ",이 일로 공주님이 울기 시작했어요. 소리 내 울고 더 크게 소리 내 울었어요. 마음의 안정을 찾을 수가 없었어요.
14,"And as she thus lamented some one said to her,",그렇게 눈물을 글썽이고 있는데 누군가가 그녀에게 이렇게 말하는 거예요
15,"“What ails you, King’s daughter? you weepest so that even a stone would show pity.” ","“누가 널 괴롭히니, 공주야? 네 모습을 보고 돌도 눈물을 뚝뚝 흘리겠다.”"
16,"She looked round to the side from whence the voice came,","공주가 목소리가 들려온 쪽을 돌아보니,"
17,"and saw a frog stretching forth its thick, ugly head from the water.",똥똥하고 못생긴 개구리 한 마리가 물 위로 고개를 쭉 내밀고 있지 뭐예요.
18,"“Ah! old water-splasher, is it you?” said she; ",“아아! 넌 헤엄을 칠 수 있지?”라며 공주가 말했어요.
19,"“I am weeping for my golden ball, which has fallen into the well.”",“우물로 떨어진 내 황금 공 때문에 울고 있었던 거야.”
20,"“Be quiet, and do not weep,” answered the frog,","“울지 말고, 뚝,”라며 개구리가 대답했어요."
21,"“I can help you, but what will you give me if I bring your plaything up again?”","“내가 널 도울 수 있겠는데, 그렇지만 내가 네 공을 다시 주워주면 넌 내게 무얼 보답으로 줄래?”"
22,"“Whatever you will have, dear frog,” said she —-","“네가 가지고 싶은 건 다, 착한 개구리야,”라며 공주가 말했어요… "
23,"“My clothes, my pearls and jewels, and even the golden crown which I am wearing.”","“내 옷이나, 내 진주나 보석, 아님 내가 지금 쓰고 있는 황금 ‘관’(머리에 쓰는 금관)도 네가 원하면 줄게.”"
24,"The frog answered,",개구리가 대답했어요.
25,"“I do not care for your clothes, your pearls and jewels, or your golden crown, but if you will love me and let me be your companion and play-fellow,","“난 네 옷, 진주, 보석이나 황금 관(=금관)엔 관심 없어. 날 좋아해주고 네 친구로 삼아죠 놀이 친구 말이야."
26,"and sit by you at your little table, and eat off your little golden plate, and drink out of your little cup, and sleep in your little bed —-","그리고 네 예쁜 식사 테이블 옆에 앉혀주고, 네 예쁜 황금접시에서 식사를 하게 해주고, 네 예쁜 컵으로 마실 수 있게 해줘, 그리고 네 예쁜 침대에서 재워줘.."
27,"if you will promise me this I will go down below, and bring you your golden ball up again.”",만약 내가 이걸 약속해준다면 내가 아래로 내려가 네 황금 공을 가지고 올라올게.”
28,"“Oh yes,” said she, “I promise you all you wishest, if you will but bring me my ball back again.” ","“응 그래,”라며 공주가 말했어요. “만약 내 공만 다시 가져다준다면, 네가 원하는 것들을 다 들어줄게.”"
29,"She, however, thought,",하지만 공주는 속으론 생각했어요.
30,"“How the silly frog does talk! He lives in the water with the other frogs, and croaks, and can be no companion to any human being!”",바보 개구리 같은 말이야.  다른 개구리들처럼 개골개골 울며 물에서나 살아. 인간의 친구가 될 수는 없어!’
31,"But the frog when he had received this promise, put his head into the water and sank down,",하지만 개구리는 이런 약속을 받고서 고개를 물속으로 넣곤 잠수를 했어요.
32,"and in a short while came swimmming up again with the ball in his mouth, and threw it on the grass.",잠시 후 개구리가 한 입 가득 공을 물고서 물 위로 올라왔어요.개구리가 잔디밭 위로 공을 던졌어요.
33,"The King’s daughter was delighted to see her pretty plaything once more, and picked it up,",자신의 예쁜 놀이 공을 한 번 더 보자 공주는 뛸 듯이 기뻤어요.
34,and ran away with it.,그리곤 공을 줍곤 잽싸게 도망가 버렸어요.
35,"“Wait, wait,” said the frog.","“기다려, 기다려,”라며 개구리가 말했어요."
36,“Take me with you. I can’t run as you can.”,“나를 데리고 가야지. 난 너처럼 달릴 수 없다구.”
37,"But what did it avail him to scream his croak, croak, after her, as loudly as he could?","하지만 개구리가 개골개골, 개골개골 외쳐대는 소리가 공주가 들을 만큼 컸다고 한들 과연 도움이 되었을까요?"
38,"She did not listen to it, ","아니죠, 공주가 그 말을 들어줄 리가 없죠."
39,"but ran home and soon forgot the poor frog, who was forced to go back into his well again.","공주는 잽싸게 집으로 돌아온 다음에, 어쩔 수 없이 다시 자신의 우물로 돌아가야 했던 불쌍한 개구리를 완전히 잊었어요."
